id_localizacao,concelho,distrito,freguesia
87616,Mogadouro,Bragança,Castelo Branco
87617,Castelo De Vide,Portalegre,Santiago Maior
87618,Sabugal,Guarda,Pousafoles Do Bispo
87619,Mação,Santarém,Amêndoa
87620,Fundão,Castelo Branco,Salgueiro
87621,Sertã,Castelo Branco,Castelo
87622,Fundão,Castelo Branco,Escarigo
87623,Santarém,Santarém,Romeira
87624,Valpaços,Vila Real,Possacos
87625,Arronches,Portalegre,Esperança
87626,Fundão,Castelo Branco,Janeiro De Cima
87627,Mangualde,Viseu,Chãs De Tavares
87628,Vila Nova De Gaia,Porto,Madalena
87629,Vila Verde,Braga,Dossãos
87630,Alenquer,Lisboa,Carnota
87631,Viana Do Alentejo,Évora,Alcáçovas
87632,Mangualde,Viseu,Abrunhosa-A-Velha
87633,Moimenta Da Beira,Viseu,Passó
87634,Póvoa De Lanhoso,Braga,Serzedelo
87635,Amadora,Lisboa,Reboleira (Parte)
87636,Ourém,Santarém,Gondemaria
87637,Bragança,Bragança,Serapicos
87638,Estremoz,Évora,São Bento Do Ameixial
87639,Fundão,Castelo Branco,Lavacolhos
87640,Penedono,Viseu,Ourozinho
87641,Coimbra,Coimbra,São Paulo De Frades
87642,Montemor-O-Velho,Coimbra,Vila Nova Da Barca
87643,Vila Nova De Cerveira,Viana Do Castelo,Reboreda
87644,Alijó,Vila Real,Pinhão
87645,Monção,Viana Do Castelo,Monção
87646,Amares,Braga,Figueiredo
87647,Vila Verde,Braga,Penascais
87648,Moita,Setúbal,Moita
87649,Alenquer,Lisboa,Aldeia Galega Da Merceana
87650,Vila Real,Vila Real,Lordelo
87651,Alcoutim,Faro,Pereiro
87652,Beja,Beja,Albernoa
87653,Aljustrel,Beja,São João De Negrilhos
87654,Celorico Da Beira,Guarda,Açores
87655,Tarouca,Viseu,Mondim Da Beira
87656,Cantanhede,Coimbra,Ançã
87657,Castelo De Paiva,Aveiro,Bairros
87658,Oliveira De Azeméis,Aveiro,Pindelo
