id,data,year,gust_max,is_dry_day,is_high_wind_day,location_id,precip_hours,precip_sum,pressure_msl,radiation,sunshine,temp_max,temp_mean,temp_min,wind_dir,wind_max
2602,20240128,2024,25.2,true,false,653,,0,,8.74,25304.76,16.4,11.6,6.8,106,9.5
2634,20240128,2024,39.6,true,false,2308,,0,,9.01,31514.74,15.4,12.15,8.9,170,18.4
112,20240129,2024,31,true,false,21,,0,,9.97,31285.12,19.4,15.299999999999999,11.2,165,17.2
113,20240129,2024,21.2,true,false,2665,,0,,9.4,27210.62,13.7,10.2,6.7,143,9.6
114,20240129,2024,29.9,true,false,852,,0,,9.68,29243.97,14.8,10.05,5.3,132,11.8
115,20240129,2024,26.6,false,false,502,,0.8,,9.93,29015.3,11,8.35,5.7,170,10.2
116,20240129,2024,41,true,false,2127,,0,,9.92,31505.54,14.7,10.95,7.2,178,14
117,20240129,2024,34.9,true,false,694,,0,,9.84,30219.94,14.7,11.05,7.4,154,14
118,20240129,2024,29.9,true,false,647,,0,,9.7,29152.89,15.1,11.2,7.3,136,11.6
119,20240129,2024,22.3,true,false,3201,,0,,9.61,31374.15,17.1,12.850000000000001,8.6,98,9.9
2538,20240129,2024,14.8,true,false,942,,0,,9.69,25200,15.7,10.7,5.7,20,6.2
2603,20240129,2024,26.3,true,false,653,,0,,9.62,31359.85,16.7,12.5,8.3,129,10.6
2635,20240129,2024,28.8,true,false,2308,,0,,10.8,30554.23,17.4,13.149999999999999,8.9,170,14.6
120,20240130,2024,23,true,false,2127,,0,,9.56,28988.51,15.7,10.3,4.9,127,7.1
121,20240130,2024,26.3,true,false,3238,,0,,10.12,30784.5,16.9,12.299999999999999,7.7,82,12.7
122,20240130,2024,29.9,true,false,647,,0,,10.28,31223.1,15.7,10.35,5,111,11.5
123,20240130,2024,25.9,true,false,438,,0,,9.52,29153.96,17.8,12.95,8.1,141,8.9
2539,20240130,2024,13,true,false,942,,0,,10.56,31621,15.7,10.149999999999999,4.6,5,5.1
2604,20240130,2024,25.6,true,false,653,,0,,10.19,31272.36,17.2,12.55,7.9,95,11.5
2636,20240130,2024,21.6,true,false,2308,,0,,10.85,31929.82,17.1,12,6.9,152,12.3
124,20240131,2024,18.7,true,false,490,,0,,10.69,30636.85,16.1,10.850000000000001,5.6,103,8.2
125,20240131,2024,18.4,true,false,2942,,0,,11.45,32393.45,17.7,12.95,8.2,114,8.4
126,20240131,2024,24.1,true,false,2782,,0,,11.07,31059.3,17.1,11.8,6.5,55,12.5
127,20240131,2024,27,true,false,385,,0,,12.03,33250.43,18.9,13.95,9,72,13.2
128,20240131,2024,21.2,true,false,1240,,0,,11.31,32178.02,15.1,10.35,5.6,73,11
2540,20240131,2024,15.5,true,false,942,,0,,11.26,32066.77,14.8,9.45,4.1,334,5.8
2605,20240131,2024,27.4,true,false,653,,0,,10.99,31061.83,18.2,13.35,8.5,92,11.5
2637,20240131,2024,22.3,true,false,2308,,0,,10.12,25332.92,13.2,8.899999999999999,4.6,55,8.7
2541,20240201,2024,15.8,true,false,942,,0,,11.26,31745.68,15.1,9.7,4.3,324,6.1
2606,20240201,2024,22.3,true,false,653,,0,,11.29,31518.23,19.1,13.15,7.2,84,7.6
2638,20240201,2024,21.6,true,false,2308,,0,,11.62,31941.64,14.1,9.15,4.2,48,8.6
140,20240202,2024,37.8,true,false,534,,0,,11.81,32847.22,14.6,11.45,8.3,44,17
141,20240202,2024,43.2,true,false,2603,,0,,11.4,32249.12,19.4,14.2,9,88,17.5
142,20240202,2024,34.2,true,false,1646,,0,,11.6,32456.66,12.8,9.100000000000001,5.4,105,10.2
143,20240202,2024,36,true,false,2752,,0,,11.55,32642.53,16.4,10.95,5.5,63,17.7
144,20240202,2024,41.4,true,false,2821,,0,,11.65,32678.67,16.9,13.149999999999999,9.4,98,16.6
145,20240202,2024,34.2,true,false,2562,,0,,11.42,32329.09,18.1,12.15,6.2,74,12.3
146,20240202,2024,40.3,true,false,374,,0,,11.45,32485.33,17.4,14.1,10.8,90,21.3
147,20240202,2024,32.8,true,false,647,,0,,11.76,32813.96,13.4,8.3,3.2,101,11
177,20240202,2024,34.2,true,false,87,,0,,11.42,32329.09,17,11.05,5.1,74,12.3
178,20240202,2024,37.4,true,false,543,,0,,11.75,32796.61,13.9,10.3,6.7,110,13
179,20240202,2024,43.2,true,false,914,,0,,11.4,32249.12,17,11.8,6.6,88,17.5
180,20240202,2024,32.8,true,false,2914,,0,,11.76,32813.96,15.2,10.149999999999999,5.1,101,11
181,20240202,2024,38.9,true,false,1674,,0,,11.43,32386.18,17.1,12.8,8.5,99,19.4
2542,20240202,2024,18,true,false,942,,0,,11.48,32399.19,15.5,9.35,3.2,43,11.6
2607,20240202,2024,43.2,true,false,653,,0,,11.4,32249.12,17.9,12.7,7.5,88,17.5
2639,20240202,2024,29.2,true,false,2308,,0,,11.8,32719.14,14.6,8.25,1.9,57,12.8
148,20240203,2024,34.2,true,false,647,,0,,11.85,33018.34,14.4,9.15,3.9,105,8.7
182,20240203,2024,29.9,true,false,1674,,0,,11.52,32794.09,17.6,12.75,7.9,94,15.3
2543,20240203,2024,18.7,true,false,942,,0,,11.67,32580.36,14.2,10.05,5.9,21,11.4
2608,20240203,2024,42.5,true,false,653,,0,,11.61,32741.75,17.1,12.55,8,89,16
2640,20240203,2024,17.6,true,false,2308,,0,,11.58,32903.72,15.2,8.6,2,99,8.2
149,20240204,2024,18.7,true,false,647,,0,,12.1,32461.01,14,9.4,4.8,86,8.1
183,20240204,2024,18.4,true,false,1674,,0,,11.74,32336.51,18,12.55,7.1,90,9.8
2544,20240204,2024,14.8,true,false,942,,0,,11.8,32861.89,14.8,9.4,4,8,5.5
2609,20240204,2024,18,true,false,653,,0,,11.73,32422.35,16.4,11.75,7.1,77,6.4
2641,20240204,2024,18,true,false,2308,,0,,12.17,33291.91,14.9,9.1,3.3,67,6.6
150,20240205,2024,18.4,true,false,647,,0,,10.01,27293.76,13.2,10.5,7.8,309,6.5
184,20240205,2024,15.5,true,false,1674,,0,,9.63,26539.82,16.9,11.6,6.3,111,7.3
2545,20240205,2024,16.2,true,false,942,,0,,9.85,32492.54,12.9,8.8,4.7,31,5.4
2610,20240205,2024,18.7,true,false,653,,0,,9.5,27075.39,15.4,11.7,8,209,7.6
2642,20240205,2024,15.8,true,false,2308,,0,,10.66,32245.8,14.2,8.75,3.3,185,5.9
151,20240206,2024,21.2,true,false,647,,0,,12.47,33557.7,11.8,7.2,2.6,191,6.9
185,20240206,2024,26.6,true,false,1674,,0,,11.96,33453.03,14.8,10.8,6.8,182,11.9
842,20240206,2024,24.5,true,false,322,,0,,12.04,33431.93,15,10.4,5.8,177,11.3
843,20240206,2024,28.8,true,false,2009,,0,,12.62,33903.59,17.1,12.100000000000001,7.1,266,15.4
844,20240206,2024,26.6,true,false,2847,,0,,11.96,33453.03,14.1,10.1,6.1,182,11.9
845,20240206,2024,25.6,true,false,1808,,0,,12.29,33279.41,15.6,11.8,8,178,13.6
846,20240206,2024,26.6,true,false,358,,0,,12.27,33494.43,13.8,9.75,5.7,200,12.4
847,20240206,2024,23,true,false,1813,,0,,11.9,33297.15,15.1,10.8,6.5,153,10.5
848,20240206,2024,27.4,true,false,1934,,0,,12.31,33495.06,16.6,10.950000000000001,5.3,293,10.8
849,20240206,2024,20.2,true,false,1312,,0,,11.94,33443.01,16.8,11.55,6.3,170,9.8
850,20240206,2024,20.2,true,false,2,,0,,12,33303.34,16.5,11.35,6.2,155,9.7
851,20240206,2024,15.8,true,false,514,,0,,11.86,33389.56,14.3,9.3,4.3,279,7.9
852,20240206,2024,25.9,true,false,726,,0,,12.35,33516,15.6,11.1,6.6,220,11.3
853,20240206,2024,22,true,false,3069,,0,,12.48,33661.01,15.4,11.15,6.9,235,11
854,20240206,2024,27,true,false,1051,,0,,11.94,34215.9,16.6,12.5,8.4,234,13.4
855,20240206,2024,26.6,true,false,2268,,0,,12.95,33863.68,15.4,11.3,7.2,293,12.6
856,20240206,2024,22,true,false,752,,0,,12.48,33661.01,15.4,11.15,6.9,235,11
857,20240206,2024,28.4,true,false,736,,0,,12.92,34215.91,16.6,12.5,8.4,258,13.2
858,20240206,2024,33.1,true,false,1539,,0,,11.82,32966.27,15.4,11.05,6.7,155,13
2546,20240206,2024,17.3,true,false,942,,0,,12.21,33279.54,14.9,9.75,4.6,2,6.1
2611,20240206,2024,24.5,true,false,653,,0,,12.09,33052.46,13.7,9.8,5.9,175,10.4
2643,20240206,2024,31.3,true,false,2308,,0,,12.13,33603.18,15.1,10.2,5.3,240,14.1
152,20240207,2024,45.7,false,false,647,,1.9,,6.81,14995.49,11.1,7.25,3.4,167,16.3
186,20240207,2024,57.6,false,false,1674,,3.1,,5.6,14650.97,15.1,11.6,8.1,189,27.4
1111,20240207,2024,46.4,false,false,2545,,0.2,,6.62,16388.05,14.6,9.7,4.8,212,17.6
1112,20240207,2024,42.8,true,false,419,,0,,11.73,34178.02,18.2,15.649999999999999,13.1,213,22.7
1113,20240207,2024,37.8,false,false,2741,,0.3,,9.1,22699.03,18.4,14.899999999999999,11.4,211,17.6
1114,20240207,2024,35.3,false,false,1952,,0.1,,3.07,1734.1,11.1,6.949999999999999,2.8,237,17.7
1115,20240207,2024,33.5,false,false,186,,0.4,,8.87,21542.32,18.2,14.55,10.9,215,16.8
1116,20240207,2024,37.1,false,false,850,,0.8,,10.93,34429.95,19,15.45,11.9,197,18.4
1117,20240207,2024,35.6,false,false,1104,,0.6,,6.91,16001.96,16.6,11.350000000000001,6.1,217,17.8
1118,20240207,2024,33.1,false,false,33,,0.2,,10.17,26882.77,19,15.1,11.2,217,15.5
2547,20240207,2024,23.4,false,false,942,,0.4,,4.11,8463.69,14.2,10,5.8,177,12.2
